기준년도,노 선,구 간,연 장,차량검지기 개수,도로전광표지 개수
2018,경 부 선,부 산 - 서 울,415.4,363,234
2018,남 해 선,영 암 - 부 산,273.2,215,118
2018,무안광주선,무 안 - 광 주,41.4,24,20
2018,광주대구선,고 서 - 옥 포,171.5,103,42
2018,서 해 안 선,목 포 - 시 흥,336.7,195,95
2018,울 산 선,언 양 - 울 산,14.3,4,4
2018,익 산 포 항 선,도 동 - 포 항,69.3,39,14
2018,익 산 포 항 선,익 산 - 장 수,61,32,29
2018,호 남 선,순 천 - 논 산,194.2,101,64
2018,순천완주선,순 천 - 완 주,117.8,92,58
2018,당진영덕선,청 주 - 영 덕,187.2,97,72
2018,당진영덕선,대 전 - 당 진,91.6,58,41
2018,중 부 선,통 영 - 하 남,332.5,196,83
2018,제 2 중부선,마 장 - 산 곡,31.1,23,2
2018,평택제천선,평 택 - 제 천,126.9,90,40
2018,중부내륙선,내 서 - 양 평,302,290,95
2018,영 동 선,서 창 - 강 릉,234.4,224,90
2018,중 앙 선,부 산 - 춘 천,288.7,165,56
2018,서울양양선,서 울 - 춘 천,61.4,120,23
2018,서울양양선,춘 천 - 동홍천,17.1,12,6
2018,서울양양선,동홍천-양 양,71.7,60,23
2018,동해선,부 산 - 울 산,47.2,50,25
2018,동해선,울 산 - 포 항,53.6,40,22
2018,동해선,삼 척 - 속 초,121.8,65,35
2018,서울외곽순환선,일 산 - 퇴계원,91.7,71,49
2018,남해제1지선,산 인 - 창 원,17.9,13,5
2018,남해제2지선,냉 정 - 부 산,20.2,14,11
2018,제2경인선,인 천 - 안 양,26.7,17,8
2018,경인선,인 천 - 서 울,23.9,6,5
2018,서천공주선,서 천 - 공 주,61.4,34,20
2018,호남선지선,논 산 - 대 전,54,38,17
2018,고창담양선,고 창 - 담 양,42.5,28,16
2018,대전남부순환선,서대전 - 산 내,13.3,6,10
2018,중부내륙지선,대 구 - 현 풍,30,20,13
2018,중앙선지선,대 동 - 양 산,17.4,20,11
2018,부산외곽선,창 원 - 부 산,48.8,58,31
2018,구리포천선,구 리 - 포 천,50.6,90,23
